ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1707,California,Amador,"Amador City",38.419444,-120.823056
1990,California,Amador,Drytown,38.393056,-120.801389
2051,California,Amador,Fiddletown,38.53141,-120.715926
2191,California,Amador,Ione,38.351882,-120.943265
2195,California,Amador,Jackson,38.357514,-120.754877
2222,California,Amador,"Kit Carson",38.431944,-120.570833
2340,California,Amador,Martell,38.366944,-120.795
2528,California,Amador,"Pine Grove",38.396783,-120.643713
2533,California,Amador,Pioneer,38.460271,-120.531815
2547,California,Amador,Plymouth,38.48811,-120.870258
2609,California,Amador,"River Pines",38.5463,-120.743
2773,California,Amador,"Sutter Creek",38.418569,-120.785454
2855,California,Amador,Volcano,38.477319,-120.617761
