ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1763,California,Marin,"Belvedere Tiburon",37.889885,-122.472627
1793,California,Marin,Bolinas,37.907875,-122.694655
1933,California,Marin,"Corte Madera",37.922256,-122.513202
1977,California,Marin,"Dillon Beach",38.250833,-122.964167
2040,California,Marin,Fairfax,37.988289,-122.593711
2065,California,Marin,"Forest Knolls",38.012178,-122.69074
2116,California,Marin,Greenbrae,37.950599,-122.535501
2189,California,Marin,Inverness,38.083514,-122.856774
2211,California,Marin,Kentfield,37.952222,-122.556111
2248,California,Marin,Lagunitas,38.013929,-122.701576
2263,California,Marin,Larkspur,37.936743,-122.536202
2339,California,Marin,Marshall,38.176221,-122.890011
2368,California,Marin,"Mill Valley",37.895757,-122.533885
2431,California,Marin,Nicasio,38.054622,-122.696402
2447,California,Marin,Novato,38.1163,-122.571416
2467,California,Marin,Olema,38.040833,-122.786944
2550,California,Marin,"Point Reyes Station",38.064794,-122.81621
2620,California,Marin,Ross,37.9625,-122.553889
2636,California,Marin,"San Anselmo",37.984579,-122.571062
2648,California,Marin,"San Geronimo",38.017155,-122.67784
2667,California,Marin,"San Quentin",37.9428,-122.4894
2668,California,Marin,"San Rafael",37.969144,-122.510502
2689,California,Marin,Sausalito,37.860147,-122.494555
2750,California,Marin,"Stinson Beach",37.901992,-122.639305
2800,California,Marin,Tomales,38.246389,-122.904444
2907,California,Marin,Woodacre,38.006933,-122.638247
